stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
70091,70091,San Mateo Caltrain Station Northbound,37.568087,-122.323851,74225,,,0,san_mateo,,1,
70092,70092,San Mateo Caltrain Station Southbound,37.568294,-122.324092,74225,,,0,san_mateo,,1,
santa_clara,santa_clara,Santa Clara Caltrain Station,37.353384,-121.936465,74223,,,1,,America/Los_Angeles,0,
70241,70241,Santa Clara Caltrain Station Northbound,37.353238,-121.93608,74226,,,0,santa_clara,,1,
70242,70242,Santa Clara Caltrain Station Southbound,37.353189,-121.936135,74226,,,0,santa_clara,,1,
south_sf,south_sf,South San Francisco Caltrain Station,37.6559414157,-122.4049790057,74223,,,1,,America/Los_Angeles,0,
70041,70041,South San Francisco Caltrain Station Northbound,37.6559413948,-122.4049790512,74224,,,0,south_sf,,2,
70042,70042,South San Francisco Caltrain Station Southbound,37.6559419334,-122.4049797097,74224,,,0,south_sf,,2,
stanford,stanford,Stanford,37.43895,-122.15715,74223,,,1,,America/Los_Angeles,0,
2537740,2537740,Stanford Caltrain Station Northbound,37.4384910094,-122.1564052441,74223,,,0,stanford,,0,
2537744,2537744,Stanford Caltrain Station Southbound,37.4384247464,-122.1564816468,74223,,,0,stanford,,0,
sunnyvale,sunnyvale,Sunnyvale,37.378934,-122.0315,74223,,,1,,America/Los_Angeles,0,
70221,70221,Sunnyvale Caltrain Station Northbound,37.378916,-122.031372,74223,,,0,sunnyvale,,1,
70222,70222,Sunnyvale Caltrain Station Southbound,37.378789,-122.031423,74223,,,0,sunnyvale,,1,
tamien,tamien,Tamien Caltrain Station,37.31269,-121.8847,74223,,,1,,America/Los_Angeles,0,
70271,70271,Tamien Caltrain Station Northbound,37.31174,-121.883721,74226,,,0,tamien,,1,
777403,777403,Tamien Caltrain Station Shuttle,37.311638,-121.883403,74223,,,0,,America/Los_Angeles,1,
70272,70272,Tamien Caltrain Station Southbound,37.31175,-121.883999,74226,,,0,tamien,,1,
HLS,HLS,Temporary Stop - Hillsdale,37.54203,-122.30195,74225,,,0,,America/Los_Angeles,0,
HLN,HLN,Temporary Stop - Hillsdale,37.54219,-122.30223,74225,,,0,,America/Los_Angeles,0,
ML,ML,Temporary Stop - Millbrae,37.59949,-122.38656,74225,,,0,,America/Los_Angeles,0,
MVS,MVS,Temporary Stop - Mountain View,37.39415,-122.07555,74223,,,0,,America/Los_Angeles,0,
MVN,MVN,Temporary Stop - Mountain View,37.39415,-122.07555,74223,,,0,,America/Los_Angeles,0,
PAN,PAN,Temporary Stop - Palo Alto,37.44523,-122.16664,74223,,,0,,America/Los_Angeles,0,
PAS,PAS,Temporary Stop - Palo Alto,37.44402,-122.16529,74223,,,0,,America/Los_Angeles,0,
RC,RC,Temporary Stop - Redwood City,37.48604,-122.23224,74225,,,0,,America/Los_Angeles,0,
SFN,SFN,Temporary Stop - San Francisco,37.77626,-122.39596,74224,,,0,,America/Los_Angeles,0,
SFS,SFS,Temporary Stop - San Francisco,37.77666,-122.39464,74224,,,0,,America/Los_Angeles,0,
