trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
122,14:41:00,14:41:00,70022,2,,0,0,2521.94934933,1
122,14:46:00,14:46:00,70032,3,,0,0,7940.93034485,1
122,14:53:00,14:53:00,70042,4,,0,0,14613.27361600,1
122,14:57:00,14:57:00,70052,5,,0,0,17657.01202032,1
122,15:02:00,15:02:00,70062,6,,0,0,21733.69455401,1
122,15:07:00,15:07:00,70082,7,,0,0,26054.12325917,1
122,15:10:00,15:10:00,70092,8,,0,0,28363.63117281,1
122,15:14:00,15:14:00,70102,9,,0,0,30512.62329786,1
122,15:17:00,15:17:00,70112,10,,0,0,31879.50093918,1
122,15:21:00,15:21:00,70122,11,,0,0,35212.82110523,1
122,15:25:00,15:25:00,70132,12,,0,0,37207.99317525,1
122,15:30:00,15:30:00,70142,13,,0,0,40700.61129692,1
122,15:36:00,15:36:00,70162,14,,0,0,46301.17800911,1
122,15:39:00,15:39:00,70172,15,,0,0,48312.56032380,1
122,15:43:00,15:43:00,70192,16,,0,0,50860.83022858,1
122,15:48:00,15:48:00,70202,17,,0,0,54800.51533953,1
122,15:52:00,15:52:00,70212,18,,0,0,57908.92961490,1
122,15:57:00,15:57:00,70222,19,,0,0,62221.44703504,1
122,16:02:00,16:02:00,70232,20,,0,0,65411.39080849,1
122,16:08:00,16:08:00,70242,21,,0,0,71301.07093998,1
122,16:17:00,16:17:00,70262,22,,0,0,75462.29656110,1
122,16:22:00,16:22:00,70272,23,,0,0,78352.91199656,1
124,15:37:00,15:37:00,70012,1,,0,0,0.00000000,1
124,15:42:00,15:42:00,70022,2,,0,0,2521.94934933,1
124,15:47:00,15:47:00,70032,3,,0,0,7940.93034485,1
124,15:54:00,15:54:00,70042,4,,0,0,14613.27361600,1
124,15:58:00,15:58:00,70052,5,,0,0,17657.01202032,1
124,16:02:00,16:02:00,70062,6,,0,0,21733.69455401,1
124,16:07:00,16:07:00,70082,7,,0,0,26054.12325917,1
124,16:11:00,16:11:00,70092,8,,0,0,28363.63117281,1
124,16:14:00,16:14:00,70102,9,,0,0,30512.62329786,1
124,16:17:00,16:17:00,70112,10,,0,0,31879.50093918,1
124,16:21:00,16:21:00,70122,11,,0,0,35212.82110523,1
124,16:24:00,16:24:00,70132,12,,0,0,37207.99317525,1
124,16:28:00,16:28:00,70142,13,,0,0,40700.61129692,1
124,16:34:00,16:34:00,70162,14,,0,0,46301.17800911,1
124,16:38:00,16:38:00,70172,15,,0,0,48312.56032380,1
124,16:41:00,16:41:00,70192,16,,0,0,50860.83022858,1
124,16:46:00,16:46:00,70202,17,,0,0,54800.51533953,1
124,16:50:00,16:50:00,70212,18,,0,0,57908.92961490,1
124,16:55:00,16:55:00,70222,19,,0,0,62221.44703504,1
124,17:03:00,17:03:00,70232,20,,0,0,65411.39080849,1
124,17:09:00,17:09:00,70242,21,,0,0,71301.07093998,1
124,17:16:00,17:16:00,70262,22,,0,0,75462.29656110,1
124,17:21:00,17:21:00,70272,23,,0,0,78352.91199656,1
126,16:37:00,16:37:00,70012,1,,0,0,0.00000000,1
126,16:42:00,16:42:00,70022,2,,0,0,2521.94934933,1
126,16:47:00,16:47:00,70032,3,,0,0,7940.93034485,1
126,16:54:00,16:54:00,70042,4,,0,0,14613.27361600,1
126,16:58:00,16:58:00,70052,5,,0,0,17657.01202032,1
126,17:02:00,17:02:00,70062,6,,0,0,21733.69455401,1
126,17:07:00,17:07:00,70082,7,,0,0,26054.12325917,1
126,17:11:00,17:11:00,70092,8,,0,0,28363.63117281,1
126,17:14:00,17:14:00,70102,9,,0,0,30512.62329786,1
126,17:17:00,17:17:00,70112,10,,0,0,31879.50093918,1
126,17:21:00,17:21:00,70122,11,,0,0,35212.82110523,1
126,17:24:00,17:24:00,70132,12,,0,0,37207.99317525,1
126,17:28:00,17:28:00,70142,13,,0,0,40700.61129692,1
126,17:34:00,17:34:00,70162,14,,0,0,46301.17800911,1
126,17:38:00,17:38:00,70172,15,,0,0,48312.56032380,1
126,17:41:00,17:41:00,70192,16,,0,0,50860.83022858,1
126,17:46:00,17:46:00,70202,17,,0,0,54800.51533953,1
126,17:50:00,17:50:00,70212,18,,0,0,57908.92961490,1
126,17:55:00,17:55:00,70222,19,,0,0,62221.44703504,1
126,18:03:00,18:03:00,70232,20,,0,0,65411.39080849,1
126,18:09:00,18:09:00,70242,21,,0,0,71301.07093998,1
126,18:19:00,18:19:00,70262,22,,0,0,75462.29656110,1
126,18:24:00,18:24:00,70272,23,,0,0,78352.91199656,1
128,17:37:00,17:37:00,70012,1,,0,0,0.00000000,1
128,17:42:00,17:42:00,70022,2,,0,0,2521.94934933,1
128,17:47:00,17:47:00,70032,3,,0,0,7940.93034485,1
128,17:54:00,17:54:00,70042,4,,0,0,14613.27361600,1
128,17:58:00,17:58:00,70052,5,,0,0,17657.01202032,1
128,18:02:00,18:02:00,70062,6,,0,0,21733.69455401,1
128,18:07:00,18:07:00,70082,7,,0,0,26054.12325917,1
