Departure table for Balboa Park
Time       Line            Next Stop                                Next Stop Time
13:34      Yellow-S        Daly City                                13:38
13:42      Yellow-S        Daly City                                13:46
13:54      Yellow-S        Daly City                                13:58
14:02      Yellow-S        Daly City                                14:06
14:14      Yellow-S        Daly City                                14:18
14:22      Yellow-S        Daly City                                14:26
14:34      Yellow-S        Daly City                                14:38
14:42      Yellow-S        Daly City                                14:46
14:54      Yellow-S        Daly City                                14:58
15:02      Yellow-S        Daly City                                15:06
15:14      Yellow-S        Daly City                                15:18
15:22      Yellow-S        Daly City                                15:26
15:34      Yellow-S        Daly City                                15:38
15:42      Yellow-S        Daly City                                15:46
15:54      Yellow-S        Daly City                                15:58
16:02      Yellow-S        Daly City                                16:06
16:14      Yellow-S        Daly City                                16:18
16:22      Yellow-S        Daly City                                16:26
16:34      Yellow-S        Daly City                                16:38
16:42      Yellow-S        Daly City                                16:46
16:54      Yellow-S        Daly City                                16:58
17:02      Yellow-S        Daly City                                17:06
17:14      Yellow-S        Daly City                                17:18
17:22      Yellow-S        Daly City                                17:26
17:34      Yellow-S        Daly City                                17:38
17:42      Yellow-S        Daly City                                17:46
17:54      Yellow-S        Daly City                                17:58
18:02      Yellow-S        Daly City                                18:06
18:14      Yellow-S        Daly City                                18:18
18:22      Yellow-S        Daly City                                18:26
18:34      Yellow-S        Daly City                                18:38
18:42      Yellow-S        Daly City                                18:46
18:54      Yellow-S        Daly City                                18:58
19:02      Yellow-S        Daly City                                19:06
19:14      Yellow-S        Daly City                                19:18
19:22      Yellow-S        Daly City                                19:26
19:34      Yellow-S        Daly City                                19:38
19:42      Yellow-S        Daly City                                19:46
19:54      Yellow-S        Daly City                                19:58
20:02      Yellow-S        Daly City                                20:06
20:14      Yellow-S        Daly City                                20:18
20:22      Yellow-S        Daly City                                20:26
20:34      Yellow-S        Daly City                                20:38
20:42      Yellow-S        Daly City                                20:46
20:54      Yellow-S        Daly City                                20:58
21:02      Yellow-S        Daly City                                21:06
21:14      Yellow-S        Daly City                                21:18
21:22      Yellow-S        Daly City                                21:26
21:34      Yellow-S        Daly City                                21:38
21:42      Yellow-S        Daly City                                21:46
21:54      Yellow-S        Daly City                                21:58
22:02      Yellow-S        Daly City                                22:06
22:14      Yellow-S        Daly City                                22:18
22:22      Yellow-S        Daly City                                22:26
22:36      Yellow-S        Daly City                                22:40
22:56      Yellow-S        Daly City                                23:00
23:16      Yellow-S        Daly City                                23:20
23:36      Yellow-S        Daly City                                23:40
23:56      Yellow-S        Daly City                                24:00
24:16      Yellow-S        Daly City                                24:20
24:36      Yellow-S        Daly City                                24:40
24:55      Yellow-S        Daly City                                24:59
25:22      Yellow-S        Daly City                                25:25

Departure table for Balboa Park
Time       Line            Next Stop                                Next Stop Time
05:11      Blue-N          West Dublin / Pleasanton                 06:08
05:31      Blue-N          West Dublin / Pleasanton                 06:28
05:51      Blue-N          West Dublin / Pleasanton                 06:48
06:11      Blue-N          West Dublin / Pleasanton                 07:08
06:31      Blue-N          West Dublin / Pleasanton                 07:28
06:51      Blue-N          West Dublin / Pleasanton                 07:48
07:11      Blue-N          West Dublin / Pleasanton                 08:08
07:31      Blue-N          West Dublin / Pleasanton                 08:28
07:51      Blue-N          West Dublin / Pleasanton                 08:48
08:11      Blue-N          West Dublin / Pleasanton                 09:08
08:31      Blue-N          West Dublin / Pleasanton                 09:28
08:51      Blue-N          West Dublin / Pleasanton                 09:48
09:11      Blue-N          West Dublin / Pleasanton                 10:08
09:31      Blue-N          West Dublin / Pleasanton                 10:28
09:51      Blue-N          West Dublin / Pleasanton                 10:48
10:11      Blue-N          West Dublin / Pleasanton                 11:08
10:31      Blue-N          West Dublin / Pleasanton                 11:28
10:51      Blue-N          West Dublin / Pleasanton                 11:48
11:11      Blue-N          West Dublin / Pleasanton                 12:08
11:31      Blue-N          West Dublin / Pleasanton                 12:28
11:51      Blue-N          West Dublin / Pleasanton                 12:48
12:11      Blue-N          West Dublin / Pleasanton                 13:08
12:31      Blue-N          West Dublin / Pleasanton                 13:28
12:51      Blue-N          West Dublin / Pleasanton                 13:48
13:11      Blue-N          West Dublin / Pleasanton                 14:08
13:31      Blue-N          West Dublin / Pleasanton                 14:28
13:51      Blue-N          West Dublin / Pleasanton                 14:48
14:11      Blue-N          West Dublin / Pleasanton                 15:08
14:31      Blue-N          West Dublin / Pleasanton                 15:28
14:51      Blue-N          West Dublin / Pleasanton                 15:48
15:11      Blue-N          West Dublin / Pleasanton                 16:08
15:31      Blue-N          West Dublin / Pleasanton                 16:28
15:51      Blue-N          West Dublin / Pleasanton                 16:48
16:11      Blue-N          West Dublin / Pleasanton                 17:08
16:31      Blue-N          West Dublin / Pleasanton                 17:28
16:51      Blue-N          West Dublin / Pleasanton                 17:48
17:11      Blue-N          West Dublin / Pleasanton                 18:08
17:31      Blue-N          West Dublin / Pleasanton                 18:28
17:51      Blue-N          West Dublin / Pleasanton                 18:48
18:11      Blue-N          West Dublin / Pleasanton                 19:08
18:31      Blue-N          West Dublin / Pleasanton                 19:28
18:51      Blue-N          West Dublin / Pleasanton                 19:48
19:11      Blue-N          West Dublin / Pleasanton                 20:08
19:31      Blue-N          West Dublin / Pleasanton                 20:28
19:51      Blue-N          West Dublin / Pleasanton                 20:48
19:59      Blue-N          West Dublin / Pleasanton                 20:56
20:19      Blue-N          West Dublin / Pleasanton                 21:16
20:39      Blue-N          West Dublin / Pleasanton                 21:36
20:59      Blue-N          West Dublin / Pleasanton                 21:56
21:19      Blue-N          West Dublin / Pleasanton                 22:16
21:40      Blue-N          West Dublin / Pleasanton                 22:36
22:00      Blue-N          West Dublin / Pleasanton                 22:56
22:20      Blue-N          West Dublin / Pleasanton                 23:16
22:40      Blue-N          West Dublin / Pleasanton                 23:36
22:59      Blue-N          West Dublin / Pleasanton                 23:56
23:20      Blue-N          West Dublin / Pleasanton                 24:16
